,0,1,2,3,4,5,6,7,8
321,PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
322,PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
323,PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
324,RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
325,SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
326,SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
327,TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
328,TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
329,TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
330,TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
331,TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
332,UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
333,USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
334,XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
335,YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
